b'Record: [ 30/07/19  23:14:45 ] - Action: Update - User: Stallion - Before: https://cdn.discordapp.com/avatars/247372340965539840/6664ac4eeecda1af1ba16408172aa48c.webp?size=1024 - After: https://cdn.discordapp.com/avatars/247372340965539840/ce553cd5631972f17b606a9f89c1789d.webp?size=1024'
b'Record: [ 31/07/19  10:34:35 ] - Action: Update - User: TurnMagic On - Before: https://cdn.discordapp.com/avatars/236905505803599872/a_6271cf12a714a30522a12ab634327f9b.gif?size=1024 - After: https://cdn.discordapp.com/avatars/236905505803599872/6271cf12a714a30522a12ab634327f9b.webp?size=1024'
b'Record: [ 31/07/19  11:26:51 ] - Action: Update - User: Martynas - Before: https://cdn.discordapp.com/avatars/351338510055374848/3150a4e885ac043fc0e5dc36d2c15df7.webp?size=1024 - After: https://cdn.discordapp.com/avatars/351338510055374848/88e23cc49bff1c76789c32db6e147a7b.webp?size=1024'
b'Record: [ 31/07/19  12:07:24 ] - Action: Update - User: HHH7 - Content: Karolis/Hantelis'
b'Record: [ 31/07/19  12:37:19 ] - Action: Update - User: Maniac - Before: https://cdn.discordapp.com/avatars/271582951152680960/c6f85834c14d51fd9bf4d92369c62198.webp?size=1024 - After: https://cdn.discordapp.com/avatars/271582951152680960/e424bb4d60303620330518b50439c8a9.webp?size=1024'
b'Record: [ 31/07/19  13:05:12 ] - Action: Update - User: Pumpkin Face - Before: https://cdn.discordapp.com/avatars/287638667856445440/933e744bd4c9d97ad09c653132e5c845.webp?size=1024 - After: https://cdn.discordapp.com/avatars/287638667856445440/81be3dce0383daba679d8dbc261b2ab3.webp?size=1024'
b'Record: [ 31/07/19  13:39:23 ] - Action: Update - User: VENERIS - Before: https://cdn.discordapp.com/avatars/387370347793612800/5039859b42031b8ef63c249fd0d183c1.webp?size=1024 - After: https://cdn.discordapp.com/avatars/387370347793612800/b628b22d688cb2865a53c077487436d2.webp?size=1024'
b'Record: [ 31/07/19  17:47:20 ] - Action: Update - User: Gvidas - Before: https://cdn.discordapp.com/avatars/222011821538672640/c3bbd6e9da866cd290024903c200c58d.webp?size=1024 - After: https://cdn.discordapp.com/avatars/222011821538672640/a_58ffccf393320a08ae14229f34f8c179.gif?size=1024'
b'Record: [ 31/07/19  20:03:12 ] - Action: Update - User: Maniac - Before: https://cdn.discordapp.com/avatars/271582951152680960/e424bb4d60303620330518b50439c8a9.webp?size=1024 - After: https://cdn.discordapp.com/avatars/271582951152680960/93f705319fcf4adf56379d7f4520a8fb.webp?size=1024'
b'Record: [ 31/07/19  21:19:38 ] - Action: Update - User: VENERIS - Before: https://cdn.discordapp.com/avatars/387370347793612800/b628b22d688cb2865a53c077487436d2.webp?size=1024 - After: https://cdn.discordapp.com/avatars/387370347793612800/a_7d6f3d42cd4d6506afba4db2a4b68c35.gif?size=1024'
b'Record: [ 31/07/19  21:36:20 ] - Action: Update - User: Rapolas - Before: https://cdn.discordapp.com/avatars/214423801557942273/0ebff4168b10cd0a6f13389aaeaf0b97.webp?size=1024 - After: https://cdn.discordapp.com/avatars/214423801557942273/9078fbac341549065661759800a84e38.webp?size=1024'
