b'Record: [ 30/07/19  14:12:22 ] - Action: Writte - User: <@!566292177161027586> - Content: **\xe2\x9c\x99 OSRS Lietuva bendruomen\xc4\x97s hierarchija**\n<:7_:605729565087760384> **Gold Staras**.\n<:6_:605729565159194625> **Silver Staras**.\n<:5_:605729565175709696> **Bronze Staras**.\n\n**Privil\xc4\x97gijos**\n<:6_:605729565159194625> **Discord:** *Audit Log, Ban, Kick, Move, Mute* *|* **Clan Chat:** *Kick*.\n<:5_:605729565175709696> **Discord:** *Kick, Move, Mute* *|* **Clan Chat:** *Kick*.\n<:4_:605729566832459796> **Discord:** *Move, Mute*.\n\n**Paauk\xc5\xa1tinimo reikalavimai**\n<:6_:605729565159194625> *\xc5\xbdaid\xc4\x97jas turi suorganizuoti 40 PvM event\xc5\xb3.*\n<:5_:605729565175709696> *\xc5\xbdaid\xc4\x97jas turi suorganizuoti 25 PvM event\xc5\xb3.*\n<:4_:605729566832459796> *\xc5\xbdaid\xc4\x97jas turi suorganizuoti 10 PvM event\xc5\xb3.*'
b'Record: [ 30/07/19  14:12:53 ] - Action: Writte - User: <@!566292177161027586> - Content: **\xe2\x9c\x99 OSRS Lietuva bendruomen\xc4\x97s hierarchija**\n<:7_:605729565087760384> **Gold Staras**.\n<:6_:605729565159194625> **Silver Staras**.\n<:5_:605729565175709696> **Bronze Staras**.\n\n**<:whites:594163895841718292> Privil\xc4\x97gijos**\n<:6_:605729565159194625> **Discord:** *Audit Log, Ban, Kick, Move, Mute* *|* **Clan Chat:** *Kick*.\n<:5_:605729565175709696> **Discord:** *Kick, Move, Mute* *|* **Clan Chat:** *Kick*.\n<:4_:605729566832459796> **Discord:** *Move, Mute*.\n\n**<:whites:594163895841718292> Paauk\xc5\xa1tinimo reikalavimai**\n<:6_:605729565159194625> *\xc5\xbdaid\xc4\x97jas turi suorganizuoti 40 PvM event\xc5\xb3.*\n<:5_:605729565175709696> *\xc5\xbdaid\xc4\x97jas turi suorganizuoti 25 PvM event\xc5\xb3.*\n<:4_:605729566832459796> *\xc5\xbdaid\xc4\x97jas turi suorganizuoti 10 PvM event\xc5\xb3.*'
b'Record: [ 30/07/19  14:13:17 ] - Action: Writte - User: <@!566292177161027586> - Content: **<:whites:594163895841718292> OSRS Lietuva bendruomen\xc4\x97s hierarchija**\n<:7_:605729565087760384> **Gold Staras**.\n<:6_:605729565159194625> **Silver Staras**.\n<:5_:605729565175709696> **Bronze Staras**.\n\n**<:whites:594163895841718292> Privil\xc4\x97gijos**\n<:6_:605729565159194625> **Discord:** *Audit Log, Ban, Kick, Move, Mute* *|* **Clan Chat:** *Kick*.\n<:5_:605729565175709696> **Discord:** *Kick, Move, Mute* *|* **Clan Chat:** *Kick*.\n<:4_:605729566832459796> **Discord:** *Move, Mute*.\n\n**<:whites:594163895841718292> Paauk\xc5\xa1tinimo reikalavimai**\n<:6_:605729565159194625> *\xc5\xbdaid\xc4\x97jas turi suorganizuoti 40 PvM event\xc5\xb3.*\n<:5_:605729565175709696> *\xc5\xbdaid\xc4\x97jas turi suorganizuoti 25 PvM event\xc5\xb3.*\n<:4_:605729566832459796> *\xc5\xbdaid\xc4\x97jas turi suorganizuoti 10 PvM event\xc5\xb3.*'
b'Record: [ 30/07/19  14:14:12 ] - Action: Writte - User: <@!566292177161027586> - Content: **<:whites:594163895841718292> OSRS Lietuva bendruomen\xc4\x97s hierarchija**\n<:6_:605729565159194625> **\xe2\xad\x90Gold Staras\xe2\xad\x90**.\n<:5_:605729565175709696> **\xe2\xad\x90Silver Staras\xe2\xad\x90**.\n<:4_:605729566832459796> **\xe2\xad\x90Bronze Staras\xe2\xad\x90**.\n\n**<:whites:594163895841718292> Privil\xc4\x97gijos**\n<:6_:605729565159194625> **Discord:** *Audit Log, Ban, Kick, Move, Mute* *|* **Clan Chat:** *Kick*.\n<:5_:605729565175709696> **Discord:** *Kick, Move, Mute* *|* **Clan Chat:** *Kick*.\n<:4_:605729566832459796> **Discord:** *Move, Mute*.\n\n**<:whites:594163895841718292> Paauk\xc5\xa1tinimo reikalavimai**\n<:6_:605729565159194625> *\xc5\xbdaid\xc4\x97jas turi suorganizuoti 40 PvM event\xc5\xb3.*\n<:5_:605729565175709696> *\xc5\xbdaid\xc4\x97jas turi suorganizuoti 25 PvM event\xc5\xb3.*\n<:4_:605729566832459796> *\xc5\xbdaid\xc4\x97jas turi suorganizuoti 10 PvM event\xc5\xb3.*'
b"Record: [ 30/07/19  23:22:10 ] - Action: Upload - User: <@!566292177161027586> - Content: [<Attachment id=605872796895019038 filename='unknown.png' url='https://cdn.discordapp.com/attachments/602631551984992275/605872796895019038/unknown.png'>]"
b'Record: [ 01/08/19  21:24:22 ] - Action: Writte - User: <@!566292177161027586> - Content: .events'
b'Record: [ 01/08/19  21:24:23 ] - Action: Writte - User: <@599615116044009477> - Content: '
b'Record: [ 01/08/19  22:46:52 ] - Action: Writte - User: <@!566292177161027586> - Content: Someshit'
b'Record: [ 02/08/19  21:42:43 ] - Action: Writte - User: <@!566292177161027586> - Content: **OOLC bendruomen\xc4\x97s hierarchija**\n\n<:7_:606934865262280799> **[A] Administratorius**\n<:6_:606934865895489550> **[M] Moderatorius**\n<:5_:606934865698619392> **[D] Diplomatas**\n<:4_:606934865488904213> **[P] Patar\xc4\x97jas**\n<:3_:606934865442635788> **[PvM] Lyderis** **-** **[PK] Lyderis**\n<:2_:606934865287446579> **[PvM] Player vs Monster**\n<:1_:606934865388109898> **[MM] Narys**\n\n**Privil\xc4\x97gijos**\n\n<:6_:606934865895489550> **Discord:** *Audit Log, Create instant invite, Ban, Kick, Move, Mute* **| Clan Chat:** *Kick*\n<:5_:606934865698619392> **Clan Chat:** *Kick*\n<:4_:606934865488904213> **Discord:** *Create instant invite*\n\n**Paauk\xc5\xa1tinimo - Pri\xc4\x97mimo reikalavimai**\n\n<:6_:606934865895489550> *\xc5\xbdaid\xc4\x97jas turi tur\xc4\x97ti* **@[L] 4 Lygis**, **@[D] Diplomatas** *statusus ir gauti vis\xc5\xb3* ***[M] Moderatori\xc5\xb3*** *rekomendacijas.*\n\n<:5_:606934865698619392> *\xc5\xbdaid\xc4\x97jas turi tur\xc4\x97ti* **@[L] 3 Lygis** *status\xc4\x85,* **@[P] Patar\xc4\x97jas** *status\xc4\x85 ir gauti 60 procent\xc5\xb3* ***[M] Moderatori\xc5\xb3*** *rekomendacij\xc5\xb3.*\n\n<:4_:606934865488904213> *\xc5\xbdaid\xc4\x97jas turi tur\xc4\x97ti* **@[L] 2 Lygis** *status\xc4\x85 ir gauti 70 procent\xc5\xb3* ***[D] Diplomat\xc5\xb3*** *rekomendacij\xc5\xb3.*\n\n<:3_:606934865442635788> *\xc5\xbdaid\xc4\x97jas turi tur\xc4\x97ti* **@[L] 2 Lygis**, **@[PvM] Player vs Monster** *arba* **@[PK] Player Killer**  *statusus, gauti 60 procent\xc5\xb3* **[D] Diplomat\xc5\xb3** *rekomendacij\xc5\xb3, suorganizuoti 5 ne oficialius PvM arba PK eventus.*\n\n<:2_:606934865287446579> *\xc5\xbdaid\xc4\x97jas turi tur\xc4\x97ti* **@[MM] Narys** *status\xc4\x85 ir aktyviai dalyvauti PvM eventuose.*\n\n<:1_:606934865388109898> *\xc5\xbdaid\xc4\x97jas turi atitikti OOLC bendruomen\xc4\x97s standartus.*'
b'Record: [ 02/08/19  21:42:51 ] - Action: Writte - User: <@!566292177161027586> - Content: **OOLC bendruomen\xc4\x97s hierarchija**\n\n<:7_:606934865262280799> **[A] Administratorius**\n<:6_:606934865895489550> **[M] Moderatorius**\n<:5_:606934865698619392> **[D] Diplomatas**\n<:4_:606934865488904213> **[A] Aljansas**\n<:3_:606934865442635788> **[PvM] Lyderis**\n<:2_:606934865287446579> **[PvM] Player vs Monster**\n<:1_:606934865388109898> **[MM] Narys**\n\n**Privil\xc4\x97gijos**\n\n<:6_:606934865895489550> **Discord:** *Audit Log, Create instant invite, Ban, Kick, Move, Mute* **| Clan Chat:** *Kick*\n<:5_:606934865698619392> **Clan Chat:** *Kick*\n<:4_:606934865488904213> **Discord:** *Create instant invite*\n\n**Paauk\xc5\xa1tinimo - Pri\xc4\x97mimo reikalavimai**\n\n<:6_:606934865895489550> *\xc5\xbdaid\xc4\x97jas turi tur\xc4\x97ti* **<@&539047831470735380>**, **<@&540147425881620490>** *statusus ir gauti vis\xc5\xb3* ***[M] Moderatori\xc5\xb3*** *rekomendacijas.*\n<:5_:606934865698619392> *\xc5\xbdaid\xc4\x97jas turi tur\xc4\x97ti* **<@&539047770976157696>** *status\xc4\x85 ir gauti 60 procent\xc5\xb3* ***[M] Moderatori\xc5\xb3*** *rekomendacij\xc5\xb3.*\n<:4_:606934865488904213> *Aljansas turi sutikti su OOLC bendruomen\xc4\x97s reikalavimais, gauti 80 procent\xc5\xb3* ***[M] Moderatori\xc5\xb3*** *ir 60 procent\xc5\xb3* ***[D] Diplomat\xc5\xb3*** *rekomendacij\xc5\xb3.*\n<:3_:606934865442635788> *\xc5\xbdaid\xc4\x97jas turi tur\xc4\x97ti* **<@&539047658422140928>**, **<@&541532118912860162>** *statusus, gauti 80 procent\xc5\xb3* **[D] Diplomat\xc5\xb3** *rekomendacij\xc5\xb3, suorganizuoti 5 ne oficialius PvM eventus.*\n<:2_:606934865287446579> *\xc5\xbdaid\xc4\x97jas turi tur\xc4\x97ti* **<@&534008810986012672>** *status\xc4\x85 ir aktyviai dalyvauti PvM eventuose.*\n<:1_:606934865388109898> *\xc5\xbdaid\xc4\x97jas turi atitikti OOLC bendruomen\xc4\x97s standartus.*'
